iter	Passed	Remaining
0	487	97100
1	825	81687
2	1188	78052
3	1598	78349
4	1982	77302
5	2336	75536
6	2633	72600
7	2944	70673
8	3213	68196
9	3497	66452
10	3777	64907
11	4063	63668
12	4359	62711
13	4644	61701
14	4952	61082
15	5232	60172
16	5512	59344
17	5811	58758
18	6121	58319
19	6459	58137
20	6759	57614
21	7061	57136
22	7336	56458
23	7606	55778
24	7859	55013
25	8126	54385
26	8396	53801
27	8674	53286
28	8992	53022
29	9312	52771
30	9632	52510
31	9930	52132
32	10235	51800
33	10501	51274334	10807	50949335	11145	50772336	11429	50349337	11729	50002338	12044	49720339	12329	49317440	12678	49169441	13009	48942442	13333	48680443	13670	48468444	13952	48059445	14254	47721446	14593	47505447	14937	47301448	15243	46974449	15535	46605550	15868	46360551	16178	46045
52	16487	45728
53	16784	45380554	17094	45068
55	17378	44687556	17658	44301557	17967	43989558	18287	43704559	18641	43497
60	18972	43233
61	19267	42884
62	19590	42602
63	19876	42237
64	20171	41894
65	20467	41554
66	20766	41222
67	21084	40928
68	21416	40661
69	21762	40416
70	22083	40122
71	22401	39824
72	22711	39512
73	23072	39286
74	23427	39046
75	23733	38723
76	24008	38351
77	24313	38029
78	24605	37687
79	24939	37409
80	25214	37044
81	25482	36670
82	25760	36313
83	26039	35958
84	26373	35681
85	26678	35364
86	26977	35039
87	27268	34705
88	27559	34372
89	27931	34138
90	28280	33874
91	28578	33548
92	28894	33243
93	29231	32963
94	29577	32690
95	29922	32416
96	30207	32075
97	30512	31757
98	30840	31463
99	31173	31173
100	31515	30891
101	31839	30591
102	32165	30291
103	32490	29991
104	32808	29683
105	33123	29373
106	33418	29045
107	33722	28726
108	34027	28408
109	34313	28074
110	34594	27737
111	34882	27407
112	35194	27096
113	35490	26773
114	35775	26442
115	36072	26121
116	36382	25810
117	36683	25492
118	36993	25180
119	37301	24867
120	37618	24560
121	37902	24232
122	38217	23924
123	38536	23619
124	38807	23284
125	39136	22985
126	39445	22673
127	39758	22364
128	40033	22034
129	40352	21728
130	40643	21407
131	40940	21090
132	41243	20776
133	41545	20462
134	41897	20172
135	42234	19875
136	42541	19563
137	42866	19258
138	43222	18968
139	43528	18655
140	43829	18340
141	44144	18031
142	44389	17693
143	44707	17386
144	44965	17055
145	45267	16742
146	45563	16427
147	45841	16106
148	46164	15801
149	46472	15490
150	46803	15187
151	47091	14870
152	47328	14538
153	47621	14224
154	47906	13908
155	48209	13597
156	48515	13287
157	48800	12972
158	49220	12692
159	49516	12379
160	49820	12068
161	50143	11762
162	50406	11441
163	50660	11120
164	50962	10810
165	51261	10499
166	51579	10192
167	51870	9880
168	52167	9569
169	52475	9260
170	52802	8954
171	53121	8647
172	53406	8335
173	53720	8027
174	54043	7720
175	54340	7410
176	54639	7100
177	54949	6791
178	55193	6475
179	55532	6170
180	55864	5864
181	56163	5554
182	56471	5245
183	56806	4939
184	57125	4631
185	57436	4323
186	57747	4014
187	58079	3707
188	58388	3398
189	58666	3087
190	58974	2778
191	59332	2472
192	59648	2163
193	59939	1853
194	60217	1544
195	60542	1235
196	60744	925
197	60987	616
198	61129	307
199	61252	0
